year,age,sex,enrolment_secondary
2017,20 YRS & OVER,MF,3
2017,20 YRS & OVER,F,1
2017,UNDER 13 YRS,MF,37156
2017,UNDER 13 YRS,F,18088
2018,UNDER 13 YRS,MF,37274
2018,UNDER 13 YRS,F,18235
2018,13 YRS,MF,38221
2018,13 YRS,F,18535
2018,14 YRS,MF,38445
2018,14 YRS,F,18768
2018,15 YRS,MF,41480
2018,15 YRS,F,20225
2018,16 YRS,MF,8091
2018,16 YRS,F,3766
2018,17 YRS,MF,1594
2018,17 YRS,F,709
2018,18 YRS,MF,213
2018,18 YRS,F,92
2018,19 YRS,MF,26
2018,19 YRS,F,8
2018,20 YRS & OVER,MF,3
2018,20 YRS & OVER,F,2
