year,sex,school_type,student_sec,teacher_sec
2016,MF,Specialised,2894,318
2016,F,Specialised,1027,142
2017,MF,Govt,117350,10041
2017,F,Govt,56895,6390
2017,MF,Aided,36645,2985
2017,F,Aided,18608,1991
2017,MF,Auto,0,0
2017,F,Auto,0,0
2017,MF,Independent,11856,1063
2017,F,Independent,5407,685
2017,MF,Specialised Independant,2651,366
2017,F,Specialised Independant,1144,223
2017,MF,Specialised,2918,323
2017,F,Specialised,1014,140
2018,MF,Govt,112140,9571
2018,F,Govt,54593,6094
2018,MF,Aided,35946,2926
2018,F,Aided,18243,1960
2018,MF,Independent,11862,1048
2018,F,Independent,5405,680
2018,MF,Specialised Independant,2664,360
2018,F,Specialised Independant,1178,218
2018,MF,Specialised,2735,336
2018,F,Specialised,921,149
