year,level_1,level_2,level_3,level_4,value
2015,Others,Total,Total,40 - 44,3757
2015,Others,Total,Total,45 - 49,2623
2015,Others,Total,Total,50 - 54,1703
2015,Others,Total,Total,55 - 59,942
2015,Others,Total,Total,60 - 64,517
2015,Others,Total,Total,65 - 69,271
2015,Others,Total,Total,70 - 74,74
2015,Others,Total,Total,75 - 79,46
2015,Others,Total,Total,80 - 84,49
2015,Others,Total,Total,85 & Over,27
2015,Others,Males,Total,0 - 4,440
2015,Others,Males,Total,5-Sep,785
2015,Others,Males,Total,Oct-14,711
2015,Others,Males,Total,15 - 19,655
2015,Others,Males,Total,20 - 24,462
2015,Others,Males,Total,25 - 29,471
2015,Others,Males,Total,30 - 34,1150
2015,Others,Males,Total,35 - 39,1580
2015,Others,Males,Total,40 - 44,1706
2015,Others,Males,Total,45 - 49,1258
2015,Others,Males,Total,50 - 54,905
2015,Others,Males,Total,55 - 59,522
2015,Others,Males,Total,60 - 64,287
2015,Others,Males,Total,65 - 69,158
2015,Others,Males,Total,70 - 74,46
2015,Others,Males,Total,75 - 79,23
2015,Others,Males,Total,80 - 84,22
2015,Others,Males,Total,85 & Over,10
2015,Others,Females,Total,0 - 4,507
2015,Others,Females,Total,5-Sep,803
2015,Others,Females,Total,Oct-14,784
2015,Others,Females,Total,15 - 19,725
2015,Others,Females,Total,20 - 24,734
2015,Others,Females,Total,25 - 29,1636
2015,Others,Females,Total,30 - 34,2768
2015,Others,Females,Total,35 - 39,2292
2015,Others,Females,Total,40 - 44,2051
2015,Others,Females,Total,45 - 49,1365
2015,Others,Females,Total,50 - 54,798
2015,Others,Females,Total,55 - 59,420
2015,Others,Females,Total,60 - 64,230
2015,Others,Females,Total,65 - 69,113
2015,Others,Females,Total,70 - 74,28
2015,Others,Females,Total,75 - 79,23
2015,Others,Females,Total,80 - 84,27
2015,Others,Females,Total,85 & Over,17
